Pos,Clube,V,E,D,SG,Pts,gol_pro,gol_con,gol_pro_pj,gol_con_pj,aprov,gol_pro/med,gol_con/med,,
1,SE Palmeiras,11,6,2,18,39,31,13,1.631578947,0.6842105263,0.6842105263,1.390134529,0.5829596413,,22
2,SC Corinthians,10,5,4,5,35,24,19,1.263157895,1,0.6140350877,1.076233184,0.8520179372,,
3,Fluminense FC,10,4,5,9,34,29,20,1.526315789,1.052631579,0.5964912281,1.30044843,0.8968609865,,
4,Atlético Mineiro,8,8,3,7,32,27,20,1.421052632,1.052631579,0.5614035088,1.210762332,0.8968609865,,
5,Athletico Paranaense,9,4,6,4,31,24,20,1.263157895,1.052631579,0.5438596491,1.076233184,0.8968609865,,
6,CR Flamengo,9,3,7,8,30,26,18,1.368421053,0.9473684211,0.5263157895,1.165919283,0.8071748879,,
7,SC Internacional,7,9,3,7,30,27,20,1.421052632,1.052631579,0.5263157895,1.210762332,0.8968609865,,
8,RB Bragantino,7,6,6,7,27,30,23,1.578947368,1.210526316,0.4736842105,1.34529148,1.031390135,,
9,Santos FC,6,8,5,6,26,22,16,1.157894737,0.8421052632,0.4561403509,0.9865470852,0.7174887892,,
10,São Paulo FC,5,11,3,4,26,28,24,1.473684211,1.263157895,0.4561403509,1.255605381,1.076233184,,
11,Botafogo FR,7,3,9,-5,24,19,24,1,1.263157895,0.4210526316,0.8520179372,1.076233184,,
12,Ceará SC,5,9,5,1,24,20,19,1.052631579,1,0.4210526316,0.8968609865,0.8520179372,,
13,Coritiba FC,6,4,9,-8,22,22,30,1.157894737,1.578947368,0.3859649123,0.9865470852,1.34529148,,
14,Goiás EC,5,7,7,-4,22,21,25,1.105263158,1.315789474,0.3859649123,0.9417040359,1.121076233,,
15,América Mineiro,6,3,10,-9,21,13,22,0.6842105263,1.157894737,0.3684210526,0.5829596413,0.9865470852,,
16,Avaí FC,6,3,10,-10,21,20,30,1.052631579,1.578947368,0.3684210526,0.8968609865,1.34529148,,
17,Cuiabá EC,5,5,9,-6,20,14,20,0.7368421053,1.052631579,0.350877193,0.6278026906,0.8968609865,,
18,Atlético Goianiense,4,5,10,-10,17,18,28,0.9473684211,1.473684211,0.298245614,0.8071748879,1.255605381,,
19,EC Juventude,3,7,9,-16,16,16,32,0.8421052632,1.684210526,0.2807017544,0.7174887892,1.434977578,,
20,Fortaleza EC,3,6,10,-8,15,15,23,0.7894736842,1.210526316,0.2631578947,0.6726457399,1.031390135,,